state,fips,year,pop
Alabama,01,1860,964201
Alaska,02,1860,
Arizona,04,1860,6482
Arkansas,05,1860,435450
California,06,1860,379994
Colorado,08,1860,34277
Connecticut,09,1860,460147
Delaware,10,1860,112216
District of Columbia,11,1860,75080
Florida,12,1860,140424
Georgia,13,1860,1057286
Hawaii,15,1860,
Idaho,16,1860,
Illinois,17,1860,1711951
Indiana,18,1860,1350428
Iowa,19,1860,674913
Kansas,20,1860,107206
Kentucky,21,1860,1155684
Louisiana,22,1860,708002
Maine,23,1860,628279
Maryland,24,1860,687049
Massachusetts,25,1860,1231066
Michigan,26,1860,749113
Minnesota,27,1860,172023
Mississippi,28,1860,791305
Missouri,29,1860,1182012
Montana,30,1860,
Nebraska,31,1860,28841
Nevada,32,1860,6857
New Hampshire,33,1860,326073
New Jersey,34,1860,672035
New Mexico,35,1860,87034
New York,36,1860,3880735
North Carolina,37,1860,992622
North Dakota,38,1860,
Ohio,39,1860,2339511
Oklahoma,40,1860,
Oregon,41,1860,52465
Pennsylvania,42,1860,2906215
Rhode Island,44,1860,174620
South Carolina,45,1860,703708
South Dakota,46,1860,4837
Tennessee,47,1860,1109801
Texas,48,1860,604215
Utah,49,1860,40273
Vermont,50,1860,315098
Virginia,51,1860,1219630
Washington,53,1860,11594
West Virginia,54,1860,376688
Wisconsin,55,1860,775881
Wyoming,56,1860,
